1	GND
2	DD/
3	DS16/
4	DS0/
5	
6	GND
7	GND
8	
9	
10	GND
11	
12	+DR
13	GND
14	DCK/
15	GND
16	DS8/
17	GND
18	
19	
20	
21	
22	
23	+5V
24	
25	-DR


