1	+3.3D
2	GND
3	GND
4	Bem0
5	Bdm0
6	Bep1
7	Bdp1
8	GND
9	Bem2
10	Bdm2
11	Bep3
12	Bdp3
13	GND
14	+3.3A
15	Dout/
16	Bep0
17	Bdp0
18	GND
19	Bem1
20	Bdm1
21	Bep2
22	Bdp2
23	GND
24	Bem3
25	Bdm3


