1	GND
2	HP1VS
3	LP1VS
4	HP2VS
5	LP2VI
6	HP3VI
7	LP3VI
8	GND
9	GND
10	SRG
11	SP1H
12	GND
13	-12
14	HP1VI
15	LP1VI
16	HP2VI
17	GND
18	LP2VS
19	HP3VS
20	LP3VS
21	1MHz
22	SSG
23	GND
24	SP3H
25	+12


